Normal Patient Waiting Time,Normal Patient Server Time,Normal patientt service time
0.0,16.62897755114716,16.62897755114713
15.985495078921815,31.37904377128575,15.393548692363918
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
21.607389678377785,33.34490911021851,11.737519431840706
Reneged,Reneged,Reneged
26.745340839703886,36.78362759502488,10.03828675532097
26.60379623028649,0,14.611174801057826
Reneged,Reneged,Reneged
Next Day,Next Day
0,5.46804734848706,5.46804734848706
0.0,15.855785664552826,15.855785664552826
12.243356601216234,17.084778130946855,4.841421529730622
Reneged,Reneged,Reneged
6.095080774384563,13.602499994114261,7.507419219729702
13.390956238871361,23.869070562131846,10.478114323260485
21.231400920824292,30.45218950549252,9.220788584668227
29.808362841671006,46.05889351765189,16.250530675980883
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
23.600722307260376,35.41624590795839,11.81552360069801
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
25.729040983652233,32.08447960204213,6.355438618389891
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
22.475176151383508,35.18946550124549,12.714289349861984
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
32.51985537049087,47.6674598049467,15.147604434455825
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
32.532439437624376,42.827923104429246,10.295483666804863
36.282985056850436,53.852550955439995,17.569565898589566
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
15.718305899472085,20.752602227630376,5.034296328158286
18.13800709796493,28.966076172777605,10.828069074812678
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
13.333552236550332,31.773768297137792,18.44021606058745
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
25.065058422918298,31.345046651643486,6.279988228725192
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
17.8135924582632,32.043117148180215,14.229524689917024
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
13.401525910292463,20.167185004759318,6.765659094466867
15.815778343720012,38.4570453939744,22.641267050254385
Reneged,Reneged,Reneged
28.467424279742858,43.41842329913834,14.950999019395487
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
20.147508155772982,32.10821104609178,11.960702890318817
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
15.82240409179036,31.37336428932167,15.550960197531289
17.202168084860403,29.0299834519096,11.827815367049185
Reneged,Reneged,Reneged
14.655753854032696,28.110785300992973,13.455031446960295
16.99220674072359,38.095392084946695,21.103185344223103
34.86810560628169,47.027026265204995,12.158920658923288
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
Reneged,Reneged,Reneged
